,open,high,low,close,volume
2025-08-29 11:40:00,232.14,232.32,231.92,232.14,422938.0
2025-08-29 11:45:00,232.145,232.145,231.73,231.825,481208.0
2025-08-29 11:50:00,231.84,232.044,231.615,231.76,314213.0
2025-08-29 11:55:00,231.76,231.81,231.4,231.7732,462683.0
2025-08-29 12:00:00,231.75,232.0329,231.73,231.95,263138.0
2025-08-29 12:05:00,231.93,232.18,231.8,232.08,299867.0
2025-08-29 12:10:00,232.07,232.375,232.06,232.3659,245290.0
2025-08-29 12:15:00,232.355,232.55,232.2801,232.52,215504.0
2025-08-29 12:20:00,232.53,232.62,232.42,232.6,203675.0
2025-08-29 12:25:00,232.6099,232.61,232.35,232.5,264161.0
2025-08-29 12:30:00,232.51,232.89,232.51,232.8,311791.0
2025-08-29 12:35:00,232.8,232.9468,232.6301,232.72,191195.0
2025-08-29 12:40:00,232.72,232.82,232.69,232.77,156933.0
2025-08-29 12:45:00,232.77,232.89,232.7,232.773,196886.0
2025-08-29 12:50:00,232.76,232.91,232.74,232.89,127946.0
2025-08-29 12:55:00,232.88,232.96,232.86,232.86,225936.0
2025-08-29 13:00:00,232.85,232.86,232.42,232.4208,376683.0
2025-08-29 13:05:00,232.445,232.59,232.31,232.5,174501.0
2025-08-29 13:10:00,232.5001,232.52,232.2102,232.26,218572.0
2025-08-29 13:15:00,232.26,232.2999,231.99,231.9969,319210.0
2025-08-29 13:20:00,231.995,232.17,231.98,232.08,239439.0
2025-08-29 13:25:00,232.07,232.155,232.025,232.03,138318.0
2025-08-29 13:30:00,232.0325,232.22,232.02,232.18,1114218.0
2025-08-29 13:35:00,232.211,232.27,232.09,232.225,146700.0
2025-08-29 13:40:00,232.22,232.385,232.1501,232.22,165315.0
2025-08-29 13:45:00,232.22,232.4401,232.22,232.34,201452.0
2025-08-29 13:50:00,232.34,232.56,232.32,232.4883,242947.0
2025-08-29 13:55:00,232.48,232.58,232.19,232.33,252068.0
2025-08-29 14:00:00,232.33,232.33,232.02,232.06,158116.0
2025-08-29 14:05:00,232.06,232.38,232.02,232.34,237513.0
2025-08-29 14:10:00,232.32,232.415,232.2801,232.3699,230027.0
2025-08-29 14:15:00,232.36,232.47,232.23,232.34,192971.0
