,1. open,2. high,3. low,4. close,5. volume
2025-08-27 19:55:00,230.6000,230.6700,230.5000,230.5100,4420
2025-08-27 19:50:00,230.5987,230.6694,230.5500,230.6000,6231
2025-08-27 19:45:00,230.5400,230.6500,230.5200,230.5955,5228
2025-08-27 19:40:00,230.6500,230.7500,230.6000,230.6300,2969
2025-08-27 19:35:00,230.8300,230.8300,230.6300,230.6300,1373
2025-08-27 19:30:00,230.7800,230.8290,230.7000,230.8282,2218
2025-08-27 19:25:00,230.8200,230.8400,230.7600,230.8200,1945
2025-08-27 19:20:00,230.8400,230.8800,230.7800,230.7800,3633
2025-08-27 19:15:00,230.8477,230.8900,230.7600,230.8200,931
2025-08-27 19:10:00,230.8100,230.9000,230.7600,230.7600,606
2025-08-27 19:05:00,230.8000,230.9000,230.7600,230.8100,770
2025-08-27 19:00:00,230.9000,230.9000,230.7600,230.8000,2187
2025-08-27 18:55:00,230.8500,230.9000,230.7600,230.8500,1675
2025-08-27 18:50:00,230.8500,231.2600,230.7500,230.8200,3648
2025-08-27 18:45:00,230.6200,230.9000,230.6200,230.8200,2527
2025-08-27 18:40:00,230.6200,230.9000,230.6200,230.6200,2221
2025-08-27 18:35:00,230.9500,231.0000,230.8000,230.8900,4492
2025-08-27 18:30:00,230.6600,230.9900,230.6200,230.9100,2207
2025-08-27 18:25:00,230.6100,230.7945,230.5800,230.6000,1880
2025-08-27 18:20:00,230.5800,230.8100,230.5000,230.5800,2423
2025-08-27 18:15:00,230.8500,230.9500,230.5100,230.5800,4316
2025-08-27 18:10:00,230.8600,230.9300,230.6800,230.8500,3000
2025-08-27 18:05:00,230.9300,230.9500,230.6000,230.8600,5944
2025-08-27 18:00:00,231.1390,231.1400,230.7800,230.9000,14009
2025-08-27 17:55:00,231.1300,231.1500,231.1000,231.1000,1840
2025-08-27 17:50:00,231.0200,231.1500,231.0200,231.1500,2362
2025-08-27 17:45:00,231.0987,231.1000,230.4900,231.0300,1002948
2025-08-27 17:40:00,231.1000,231.1500,231.0500,231.1000,2725
2025-08-27 17:35:00,231.1202,231.1800,231.0600,231.1100,2598
2025-08-27 17:30:00,231.1962,231.2000,231.0500,231.1200,2782
2025-08-27 17:25:00,231.1900,231.3200,231.0500,231.2000,1669
2025-08-27 17:20:00,231.1600,231.3800,231.0500,231.2200,3892
2025-08-27 17:15:00,231.1600,231.3000,231.0100,231.1600,3677
2025-08-27 17:10:00,231.2000,231.2300,231.0100,231.2000,3925
2025-08-27 17:05:00,231.1700,231.2200,231.1400,231.1402,8214
2025-08-27 17:00:00,231.3000,251.9286,204.5967,231.2000,7959
2025-08-27 16:55:00,231.2000,251.9286,207.8432,231.2300,11380
2025-08-27 16:50:00,231.1700,251.9286,204.5967,231.3600,22882
2025-08-27 16:45:00,231.1200,231.1900,195.2700,231.0100,18733
2025-08-27 16:40:00,230.9700,231.2000,209.8730,231.1100,38071
2025-08-27 16:35:00,230.5500,231.0000,230.4900,230.9800,32555
2025-08-27 16:30:00,230.6100,230.8000,230.3000,230.5300,12630
2025-08-27 16:25:00,230.6000,230.9900,230.0000,230.6000,29498
2025-08-27 16:20:00,230.4900,230.8900,229.8200,230.8000,44961
2025-08-27 16:15:00,230.4900,230.4900,230.3200,230.3200,137779
2025-08-27 16:10:00,230.4900,230.4900,230.3200,230.3207,11376
2025-08-27 16:05:00,230.3500,230.4900,230.3200,230.4400,13682
2025-08-27 16:00:00,230.4500,230.7000,230.3200,230.3200,8442007
2025-08-27 15:55:00,230.8242,230.8600,230.4300,230.5000,1182757
2025-08-27 15:50:00,230.7600,230.9000,230.6700,230.8250,691377
